create,chế tạo
opossed,phản đối
debate,tranh luận
essay,tiểu luận
period,giai đoạn
proud,tự hào
praise,lời khen
instead,thay vì
stead,thay thế
aware,nhận thức
inocent,vô tội
addiction,nghiện
stimulate,kích thích
disapprove,phản đối
approve,chấp thuận
exposure,phơi bày
risk,rủi ro
persuade = convinde,thuyết phục
sympathy,đồng cảm
pampered,chiều chuộng
discipline,kỷ luật
present,"hiện tại, món quà"
fulfill,hoàn thành
gathering,"tập hợp, tụ họp"
spauce,vợ chồng
passion,niềm đam mê
impart = deliver,truyền đạt
correct,chính xác
appropriate,thích hợp
affection,sự yêu thương
as long as,miễn là
as well as,cũng như
preference = interests,sở thích
particularty,đặc biệt
particular,cụ thể
satisfied,"hài lònng, thỏa mãn"
immesureable,vô bờ bến
tanned,rám nắng
neatly,gọn gàng
contrybute,đóng 
strict,nghiêm ngặt
matter,vấn đề
"ordinary,normal",bình 
geometry,hình học
riddle,câu đố
"away, far",xa
basic = fundamental,cơ bản
recognize,được công nhận
hertage,di sản
explore,khai thác
menument,thực đơn
boat rowing,chèo thuyền
dedication,cống hiến
algebra,đại số
custom ,phong tục
"majestic, spectacular",hùng vĩ
vivid,sống động
grand,vĩ đại
poetic,nên thơ
poem,bài thơ
commune,xã
province,tỉnh
district,"quận, tỉnh"
sand,cát
"coral,reef",san hô
"attractive, interesting",hấp dẫn
ecology,sinh thái
rather,hơn là
strange,lạ lùng
stranger,người lạ
strength,sức mạnh
monument,di tích
century,thế kỷ
decade,thập 
millennium,thiên niên kỷ
ocasion,dịp
over one ......,hơn một.....
"texture, structure",cấu trúc
pecient,bệnh nhân
excitied,"hứng thú, phấn kích, hào hứng "
exciting,thú vị
useful,hữu ích
meaningful,ý nghĩa
sight seeing,tham quan
aboard,nước ngoài
"expand,extend",mở rộng
equip,trang bị
shound not miss,không nên bỏ qua
beloved,người yêu thương
entering,bước vào
deep,sâu sắc
impressed,ấn tượng
harmony,"hài hòa, hòa hợp"
"mist,fog",sương mù
dense,dày đặc
spring,xuân
summer,hạ 
autumn,thu
fascinating ,đông
productive,năng xuất
effective,hiệu quả
"extraodinary, particularty, special",đặc biệt
estatic,ngấy ngây
"grill, bake",nướng
salty,mặn
bland,lạt
stink,hôi
rotten,thối
rot,thối rữa
cultivate,trau dồi
host,người dẫn chương trình
professionatly,nhiệt huyết
"carrer, profession",nghề nghiệp
suitable,phù hợp
praticipanting,tham gia
strengths,thế mạnh
"culinary, cusine",ẩm thực
reach,"đạt được, đạt tới"
"material, substance","vật liệu, chất liệu"
intergrate,áp dụng
comprehensive,toàn diện
chair,ghế
excitement,hứng thú
movivation,động lực
rational,hợp lí
"unreasonable, irrational",vô lí
sentences,câu
"examine, research",nghiên cứu 
comformtable,"thoải mái, dễ chịu"
encountered,đã gặp phải
clearly,rõ ràng
exhaust,khí thải
one of choces,1 lần tình cờ
embrace,"bao quát, ôm"
"exhausted, exhausting",kiệt sức
absorb,hấp thụ
resist ,kháng cự
mature,trưởng thành
relative,họ hàng
"match, compentition",cuộc thi
tutor,gia sư
entrance,đầu vào
temple,đền
saint,thánh
remembrance,tưởng nhớ
consider,xem xét
deeds,chiến công
represent,đại diện
encougrate,kích thích
ancestor,tổ tiên
woship,thờ
resourceful,tháo vát
agile,góc
angel,thiên thần
prerious,trước
forces,bắt buộc cái gì đó
reflect,phán ánh
reflex,phản xạ
honestly,thành thật
proper,đúng đắn
dissapoint,thất vọng
except,ngoại lệ
espect,trông chờ
aspect,khía cạnh
behavior,thái độ
accept,chấp nhận
consuming,tiêu thụ
serectary,thư kí
brief,ngắn gọn
briefcase,ba lo công tác
"rebellious, mischievous, naughty",tinh nghịch
performance,hiệu xuất
souvenir,quà lưu niệm
"profound, deep ",sâu sắc
symbol,biểu tượng
hung,treo
lacquerwares,tranh sơn dầu
marking,"chấm bài, đánh dấu"
dynasty,triều đại
cheers,"reo hò, vui mừng"
cermony,lễ
occasion,dịp
railway,đường sắt
"elegance,luxurious",sang trọng
"softly, lightly",nhẹ nhàng
light,nhẹ
soft,mền mại
product,sản phẩm
provide,cung cấp
manufacture,sản xuất
tailor,thợ may
suggest,gợi ý
suggested,đề xuất
agree,đồng ý
amire,ngưỡng mộ
desire,mong muốn
devide,chia
revise,ôn lại
"detect, discovery",phát hiện
mistery,"bí ẩn, phim trinh thám"
comedy,phim hài
cartoon,phim hoạt hình
character,nhân vật
now showing,đang chiếu
action move,phim hành động
scene,hiện trường
"plot, script",kịch bản
persimism,bi quan
optimism,lạc quan
effort,nỗ lực
strive,phấn đấu
compasstionate,từ bi
clumsy,hậu đậu
ferret,chồn
argued,tranh luận
shrinking,teo nhỏ
unravel,làm sáng tỏ
solving crima,phá án
gang,băng nhóm
crime,tội phạm
detective,thám tử
accidentally,tình cờ
thrilling,"li kì, hồi hộp"
impression,ấn tượng
chase,rượt đuổi
"compete, completion",hoàn thành
even though,mặc dù
athlete,"vận động viên, thế vận hội"
athletics,điền kinh
expand,mở rộng
buch,đám
pursuing,theo đuổi
gentle,dịu dàng
"empathy, sympathy",đồng cảm
regain,giành lại
ravel,làm rối loạn
disrupt,làm gián đoạn
dispute ,tranh luận
accept,cho phép
look out,cẩn thận
look for,tìm kiếm
look after,chăm sóc
look up,tra cứu
look down,xem thường
look at,nhìn vào
look forward to,mong đợi
go up,tăng giá
go down,giảm giá
go after,đuổi theo
go out,đi ra ngoài
go off,"nổ, xạo, báo thức...."
go on,tiếp tục
go away,cút
put on,mặc vào
take off,cởi ra
put off,trì hoãn
turn on ,mở
turn off,tắt
turn down,mở nhỏ
turn up,đến
turn round,"quay trở lại, quay đầu lại"
hurry up,nhanh lên
break down,hư hỏng
"resemble, look like",giống
"hold up, delay, postpone",trì hoãn
"get over, recover forrm","vượt qua, bình phục"
furniture,nội thất
trellis,dàn
garden,vườn
motto,châm ngôn
carry,mang
"breeze, blow",gió thổi
imagine,tưởng tượng
exchange,trao đổi
era,kỷ nguyên
standard,tiêu chuẩn
combine,kết hợp
"soild, land",đất
pollution,ô nhiễm
ferrtilize,phân bón
pesticides,thuốc trừ sâu
industy,ngành công nghiệp
agricultural,nông nghiệp
devastading,tàn phá
serious,nghiêm trọng
stems form,bắt nguồn từ
cause,"nguyên nhân, gây ra"
entire,toàn bộ
artifical,nhân tạo
littering,"xã rác, xả rác bừa bãi"
microbiological,vi sinh vật
include,bao gồm
exclude,loại trừ
contain,chứa
mankind,loài người
carcasses,xác chết
melty,tan chảy
heavy,nặng nề
flood,lũ lụt
domestic,nội địa 
dug into,thải vào
arlaming,đáng báo động
clear,thông thoáng
clean,sạch
near,gần
military,quân sự
direct,trực tiếp
indirect,gián tiếp
greenhouse,nhà kính
imdiscriminately,ném bừa bãi
"emission, exhaust",khí thải
"effect, impact",tác dụng
affect,ảnh hưởng
heat,nhiệt
temperature,nhiệt độ
lack,thiếu
slash,gạch chéo
cultivation,canh tác
forestry,lâm nghiệp
fishery,ngư nghiệp
deforestation,phá rừng
vulnerable,"yếu ướt, mỏng manh, dễ tổn thương"
landslide,sạc lở 
dealing,xử lí
ensure,đảm bảo
deal,thỏa thuận
individual,cá nhân
rapid,nhanh
population,dân số
growth,tăng trưởng
inbalance,mất cân bằng
account balance,số dư tài khoản
emitted,phát ra 
commit,làm
comitted,cam kết
habitat,môi trường sống
indispenable,không thể tách rời
wide,rộng
variety,đa dạng
bluff,bịp bợm
eateries,quán ăn
hygienic,hợp vệ sinh
moderation,đều đặn
squeeze,vắt
quail,chim cút
noodle,mì
flavor,hương vị
smell,mùi
"scent, aroma",mùi thơm
ingredient,nguyên liệu
gathering,thu thập
gather,tập hợp
enjoyed,rất thích
battery,pin
almost,hầu hết
condition,"điều kiện, tình trạng"
reception,"thu, nhận"
recognition,nhận diện
turning point,bước ngoặc
"suffering, anguished",đau khổ
suffer ,chịu đựng
intergrate,tích hợp
compose,sáng tác
measurement,đo đạt
sufing,lướt...
preeminet,ưu việt
tempered,ủ rủ
temper,nóng nảy
tempered glass,kính cường lực
indentified,nhận diện
deny,phủ nhận
cherish,ấp ủ
factor,yếu tố
cigaret,thuốc lá
greatly,rất nhiều...
fasting,ăn chay
diet,ăn kiêng
science,khoa học
fiction,giả tưởng
adversely,bất lợi
secretory,bài tiết
pignetation,sắc tố
complextion,màu da
discolor,đổi màu
relic,di tích
wrost,tồi tệ nhất
witness,nhân chứng
declaration,tuyên ngôn
indepedent,độc lập
democracy,dân chủ 
republic,cộng hòa
hospitable,hiều khách
solemn,trang nghiêm
vibrant,sôi động
sparkling,"lung linh, lộng lẫy"
brilliant,rực rỡ
bringht,chiếu...
dignified,"đứng đắn, nghiêm túc"
breath,hơi thở
"relate, accociated",liên quan
capable,có khả năng 
transport,trung chuyển
dumping,"bán phá giá, xả bừa bãi...."
organization,tổ chức
paleontologist,nhà khảo cổ học
digging,đào bới
"colosuss, giant",người khổng lồ
measure,đo lường
publication,công bố
researcher,nhà nghiên cứu
creature,sinh vật
current,hiện tại
curse,lời nguyền
"establishment, foundation",thành lập
fossils,hóa thạch
measure,biện pháp
uninteded,ngoài ý muốn
track,theo dõi
privacy,riêng tư
violation,sự vi phạm
"central, center",trung tâm
punitive ,trừng phạt
ruble,đồng rub - Nga
western,"phương tây, "
medical,thuộc về y học
attend,tham dự
bury,chôn
cemetery,nghĩa trang
funeral,đám tang
coffin,quan tài
several,một vài
goal,mục tiêu
small intertine,ruột non
quality,chất lượng
quantities,số lượng
eligible,đạt tiêu chuẩn
derived,"nguồn gốc, dẫn xuất"
minor,"thiểu số, nhỉ"
major,đa số
portion,"phần, khẩu phần ăn"
diabete,tiểu đường
"intake, input",đầu vào
accumulation,tích lũy
obesity,béo phì
"bleak, gloomy",ảm đạm
bleach,chất tẩy trắng
"outlook, viewpoint, perspective",quan điểm
perspective,"nhận thức, quan điểm"
"furious, anger",tức giận
"powerless, helpless",bất lực
guilty,tội lỗi
"concern, preoccupied",bận tâm
against,chống lại
toward,theo hướng
moisture,độ ẩm
epidemic,bệnh dịch
"reproducing, regeneration",tái tạo
storage,kho
achive,lưu trữ
evaporate,bốc hơi
permit,cho phép làm gì
degree,độ
crediting,tín dụng
mark,đánh dấu
host a summit,hội nghị thượng đẳng
minister,bộ trưởng
suppress,kìm nén
surging,gia tăng
impunity,miễn trừ
no longer,không còn là
"committing, commited",cam kết
monitor,màn hình
"monitoring, observe",quan sát
surveillant,giám sát
veteran,cựu chiến binh
campain,chiến dịch
pledge,lời hứa
reverse,đảo ngược
dismantle,tháo dỡ
preside,chủ trì
resuming,nối lại
command,yêu cầu
operating,điều hành
savana,thảo nguyên
tropical,nhiệt đới
vegetation,thảm thực vật
plateau,cao nguyên
desert,sa mạc
swamp,đầm lầy
exper,chuyên gia
crime,tội phạm
resume,sơ yếu lí lịch
collaborate,cộng tác 
thus,do đó
frank,thẳng thắng
competition,cạnh tranh
as noted,như đã nêu
fewer ,ít hơn
detail,chi tiết
"contrary, contrast","ngược lại, đối lập"
handle,xử lí
forgiving,khoan dung
in partilular,đặc biệt
accomplishment,thành tựu
perhaps,"có lẽ, có thể"
cooporate,hợp tác
out going,sắp thôi việc
fired,bị đuổi việc
sightly,"khá, hơi..."
overall,tổng thể
capable,có khả năng
reckon,tính toán
workflow,quá trình làm việc
possibly,có thể
alternatively,lần lượt
take sth for granted,không biết quý trọng....
"delight, joyful",hân hoang
pants,quần dài
whether,liệu
loose,lỏng lẻo
bench,băng ghế
forgive,thứ lỗi
decide,quyết định
suddently,đương nhiên
court,toàn án
courting,lời tán tỉnh
cucumber,dưa chuột
orientation,định hướng
"intent, intending","ý định, có ý định"
brick,gạch
"shouted, yelled",la hét
"stealthily, sneaky",lén lút
cabinet,tủ
bent,uống cong
fine,"ổn, tiền phạt"
polite,lịch sự
"impolite, rude",bất lịch sự
irresponsible,vô trách nhiệm
"careless, negligent",cẩu thả
obiviously,dĩ nhiên
whilst,trong khi
all in all,tổng kết lại
on the whole,về tổng thể
distribute,phân phối
perform,"thi hành, thực hiện"
therefore,do vậy
accordingly,theo
tabloid,báo khổ nhỏ
apology,lời xin lỗi
admit,thừa nhận
neverless,tuy thế
inventive,đầy sáng tạo
attention,chú ý
investigative,điều tra
infomative,nhiều thông tin
verify,kiểm chứng
identify,"xác định, nhận dạng"
"authentication, validate",xác thực
de - authentication,hủy xác thực
bias,thiên vị
impartial,vô tư
ideology,hệ tư tưởng
rechargeable,có thể sạc lại
charge,sạc
arrange,sắp sếp
"rapid, quick",nhanh
competency,năng lực
topical,thuộc đề tài
validate,xác thực
operate,điều hành
promotion,khuyến mãi
promote,"thăng tiến, xúc tiến"
contaminate,làm ô uế
recruitment,tuyển dụng
"proven, demonstration",chứng minh
evidence,chứng cớ
absorb,hấp thụ
talkative,lắm lời
competition,cuộc thi
compete,cạnh tranh
harsh,khắc nghiệt
churlish,thô bỉ
dizzy ,chóng mặt
nausea,buồn nôn
"fussy, loud","ồn ào, ồn"
sparking,lung linh
spotless,không tì vết
disscuss,thảo luận
straight,thẳng
influenza,cảm cúm
cross,"kiểu như băng qua, bắt chéo...ngã tư"
the cross,Thánh Giá
buddhism,đạo Phật
islamic,Hồi Giáo
christiannity,Thiên Chúa giáo
hinduism,Ấn Độ giáo - Hindu
"produce, manufacture",sản xuất
wonder,tự hỏi
forget,quên
compact,"gọn, nhỏ gọn"
swipe,vuốt
reward,phần thưởng
bent,"cong, uống cong"
"nourish, bring",nuôi dưỡng
huge,to lớn
thick,dày
thin,mỏng
flourished,phát triển khỏe mạnh
across,cross
"frail, weak",yếu đuối
refuse,từ chối
brighten,tươi sáng
constipation,táo bón
netabolism,trao đổi chất
"negative, ",tiêu cực
ulcer,loét
"gastric, stomach",dạ dày
insomia,mất ngủ
surgency,khẩn cấp
spared,tha
disgetive,tiêu hóa
kidney,thận
murder,giết người
delta,đồng bằng
"quarreling, arguing",cãi nhau
traumatic,chấn thương
soothe,xoa dịu
"frustrated, annoyed",bực bội
suspiciously, đáng ngờ
fatal,chết người
benefactor,ân nhân
"attempt, effort",nỗ lực
chart,biểu đồ
exist,tồn tại
flow,"dòng chảy, chảy"
"practical, realistic",thực tế
suspect,nghi ngờ
scout,trinh sát
wet,ướt
reliance,"nương, nhờ vào..."
reliable,đáng tin cậy
profit,lợi nhuận
revenue,doanh thu
consultation,tư vấn
advise,khuyên nhủ
transfer,chuyển giao
conference,hội nghị
autonomy,quyền tự trị
"proportion, ratio",tỉ lệ
expen,chi tiêu
arrested,bị bắt
procedures,thủ tục
authorities,chính quyền
accusation,buộc tội
judge,phán xét
embezzlememt,tham ô
"competition, contest",cuộc thi
conprehension,bao quát
pick out,chọn ra
fomal,chính thức
infomal,không chính thức
homeroom,giáo viên chủ nhiệm
allocation,phân bổ
fugitive,kẻ đào tẩu
capture,chiếm lấy
"involvement, participate",tham gia
transnational,vượt quốc gia
pandemic,đại dịch
administrative worker,nhân viên văn phòng
quarter,1/4
one third,1/3
"incompetent, loser",bất tài
unacceptable,không thể cấp nhận được
"wealthy, rich",giàu
blame,đổ lỗi
mortgage,thuế chấp
criticize,chỉ trích
scold,trách mắng
participate,tham gia
account for,chiếm
institute,học viện
breadwinner,trụ cột
rural,nông thôn
urban,đô thị
survey,khảo sát
labor,"lao động, nhân công"
amplification,khuếch đại
relevant,liên quan
offence,xúc phạm
offensive,phản cảm
loan,vay
debt,khoản nợ
"frequently, regular",thường 
"discrimation, distinguish","phân biệt, kì thị"
steadily,đều đặn
regardless,"không để ý, không liên quan"
"doubled, duplicated",gấp đôi
deteriorate,xấu đi
urged,"thúc đẩy, thúc giục"
burden,gánh nặng
perception,nhận thức
boudaries,ranh giới
chin,cằm
mock,chế nhạo
provocative,trêu chọc
curious,tò mò
burn,dốt
substantial,đáng kể
former,cựu...
decision,quyết định
restricted,hạn chế
legally,hợp pháp
release,giải phóng
yard,sân
cozy,ấm áp
stuffed,...nhồi bông
adjoining,liền kề
sheet,bảng
shortcoming,thiếu sót
"ratio, scale",tỉ lệ
"spin, rotate",quay
atleast,ít nhất
"propts, tool",công cụ
composition,thành pần
jungle,rừng
export,xuất khẩu
sence,giác quan
embedding,nhúng
repository,kho
execution,chấp hành
policy,chính sách
patient,kiên nhẫn
inperdectly,không hoàn hảo
parameters,tham số
uilities,tiện ích
modify,biến đổi
specific,cụ thể
additional,thêm vào
resolution ,nghị quyết
accelerate,thúc giục
"section, part",phần
aton,nguyên tử
otherwise,nếu không thì
bucket,cái xô
bracket,dấu ngoặc
emphasize,nhấn mạnh
influent,ảnh hưởng
"scrubbed, wash",cọ rửa
correspond,tương ứng
assistant,trợ lí
accountant,kế toán
clerk,nhân viên văn phòng
dentist,nha sĩ
midwife,hộ sinh
paramedic,nhân viên cấp cứu
surgeon,bác sĩ phẫu thuật
vet,bác sĩ thú y
author,"tác giả, nhà văn"
composer,nhàc sĩ
serectary,thư kí
director,giám đốc
comedian,diễn viên hài
sculptor,nhà điêu khắc
barista,người pha cà phê
clinic,phòng khám
pharmacist,dược sĩ
electrician,thợ điện
mechanic,thợ máy
carpenter,thợ mộc
"bricklayer, manson",thợ hồ
diplomat,nhà ngoại giao
librarian,thủ thư
nerd,mọt sách
rodent,gặm nhắm
delve,đào sâu
find out,tìm hiểu
deterministic,quyết định
can barely,khó có thể
"concept, idea",ý tưởng
canon,kinh điển
"similar, correspond",tương tự
illustration,hình minh họa
rim,vành
closeup,"cận cảnh, gần hơn"
illusion,ảo giác
charcoal,than củi
powerful,mạnh mẽ
intricate,phức tạp
indeed,thực sự...
stack,"cộng dồn, xếp chồng"
phrase,cụm từ
order of,sắp xếp
at the first glance,thoạt nhìn
glance,liếc 
punctuation,chấm câu
"blurry, blur",mờ
"massive, big, giant",to lớn
genius,thiên tài
mass,khối
"skillful, tactful",khéo léo
theories,lí thuyết
scheme,cơ chế
"multitude, countless",vô số
infinite,vô hạn
limited,"hữu hạn, giới hạn"
chuck,đoạn
paragraph,đoạn văn
unit,đơn vị
"plain, simple",đơn giản
"counteract, against",chống lại
refine,tinh chỉnh
adjustment,điều chỉnh
lip,môi
interpreter,thông dịch viên
literal,nghĩa đen
literally,theo đúng nghĩa đen
anatony,giải phẩu học
artifact,hiện vật
parenthesis,ngoặc đơn
wrapping,gói lại
multiplication,phép nhân
square bracket,dấu ngặc vuông
contract,hợp đồng
contact,liên hệ
contrast,"tương phản, đối lập"
inn,mực
satisfying,"đáp ứng, thỏa mãn"
scram,hãm
steader,ổn định
liberty,tự do
firmer,vững chắc hơn
steady,vững chắc
pot,cái ấm
incense,nhang
harbor,cảng
"spot, slot",chỗ
skeptical,hoài nghi
"brilliant, excellent",xuất sắc
charming,quyến rũ
fascinating,lôi cuốn
clever,kéo léo
ambitious,tham vọng
calm,bình tĩnh
"cautious, considerate","cẩn thận, thận trọng"
"amusing, cheerful, fun ",vui
thoughtful,chu đáo
"faithful, loyal",chung thành
generous,"hào phóng, rộng lượng"
hard-working,chăm chỉ
honest,thành thật
humorous,hài hước
humble,khiêm tốn
imaginative,giàu trí tưởng tượng
kind,tốt bụng
sincere,chân thành
sociable,hòa đồng
"intelligent, smart",thông minh
"aggressive, ferocious",hung dữ
bossy,thích sai bảo người khác
careless,bất cần
"crazy, mad",điên khùng
boring,tẻ nhạt
pair,đôi
"visual, sight",thị giác
colon,dấu :
decimal,"phân số, thập phân"
specified,được chỉ định
degeneration,thái hóa
sampling,lấy mẫu
indicate,biểu thị
"altogether, total",toàn bộ
"prominent, outstanding",nổi bật
padding,đệm...
prematurely,quá sớm
"looping, endless",vòng lặp
repeatedly,nhiều lần
conform,tuân thủ
prediction,"tiên đoán, dự đoán"
unpredicable,không thể đoán trước
comply,tuân theo
tend,có khuynh hướng
unimpactful,không có tác động
subject of,chủ đề
nested,lồng vào
consistent,nhất quán
dedicated,tận tụy
"indication, instruction",chỉ dẫn
reception,lễ tân
"associated, involve, revelant",liên quan
"associate, combine",kết hợp
rewarding,bổ ích
compose,sáng tác
useful,hữu ích
conducting,tiến hành
eavesdrop,nghe lén
blackmail,tống tiền
kidnapped,bắt cóc
strategist,chiến lược gia
strategy,chiến lược
obedient,"nghe lời, ngoan"
controlversial,gây tranh cãi
strugg,đấu tranh
agrument,tranh cãi
"debate, dispute",tranh luận
complex,tổ hợp
complete,hoàn thành
completely,hoàn toàn
depeding,tùy
intention,ý định
amount,số lượng
"sumaries, in complution",tóm tắt
symmetrical,đối xứng
"symmetry, opposite",đối diện
approval,chấp thuận
biblical,kinh thánh
wrestling,đấu vật
racist,phân biệt chủng tộc
sexist,phân biệt giới tính
jurisdiction,quyền hạn
"a permit, license",giấy phép
designate,chỉ định
coordinating,phối hợp
conjunction,liên kết
"clause, term",điều khoản
"versatle, flexible",linh hoạt
ambiguous,mơ hồ
confusing,nhầm lẫn
mistake,sai lầm
duke,công tước
nuke,vũ kí hạt nhân
nuclear,năng lượng hạt nhân
contradic,mâu thuẫn
requisite,điều cần thiết
refers,ám chỉ
refer,tham khảo
wink,nháy mắt
spice,gia vị
context,bối cảnh
pursuit,theo đuổi
cope,đối phó
"drowsiness, Sleepy",buồn ngủ
"strengthen, enchance, boost",tăng cường
"fatigue, tried",mệt mỏi
apnea,ngưng thở
"stage, period",giai đoạn
